Test_ID,Suite,Raw_Address,Target_Challenge,Resolved_House,Resolved_Street,Resolved_City,Resolved_District,Resolved_State,Resolved_PIN,Clean_Address,Status,Method
51,Multi-Lingual & Transliteration Traps,"Mukkam Post Kothrud, Pune City, MH 411038",Mukkam Post is Marathi for village/post.,,Mukkam Post Kothrud,Pune,Pune,Maharashtra,411038,"Mukkam Post Kothrud, Pune, Maharashtra 411038",verified,pincode_lookup
52,Multi-Lingual & Transliteration Traps,"Badi Chaupar, Hawamahal ke piche, Jaipur 302002",Hindi transliteration (Badi Chaupar / ke piche) used as routing.,,"Badi Chaupar Hawamahal k e behind, Govind Nagar (Jaipur)",Jaipur,Jaipur,Rajasthan,302002,"Badi Chaupar, Hawamahal k e behind, Govind Nagar (Jaipur), Jaipur, Rajasthan 302002",verified,pincode_lookup
53,Multi-Lingual & Transliteration Traps,"Kizhakkambalam panchayath, Ernakulam dist, Kerala 683562",Malayalam influence in administrative boundaries.,,Kizhakk ambala m panchayath Ernakulam dist,Ernakulam,Ernakulam,Kerala,683562,"Kizhakk ambala m panchayath, Ernakulam dist, Ernakulam, Kerala 683562",verified,pincode_lookup
54,Multi-Lingual & Transliteration Traps,"Dakghar Gole Market, Nai Dilli - 1",Hindi terms for Post Office (Dakghar) and New Delhi (Nai Dilli).,,"Dakghar Gole Market, Bengali Market",New Delhi,Central Delhi,Delhi,110001,"Dakghar Gole Market, Bengali Market, New Delhi, Delhi 110001",verified,pincode_lookup
55,Multi-Lingual & Transliteration Traps,"Satrasta, Jacob Circle, opp Arthur Road Jail, Mumbai 400011",Satrasta translates to Seven roads; tests alias resolution.,,Satrasta Jacob Circle opposite Arthur Road Jail,Mumbai,Mumbai,Maharashtra,400011,"Satrasta, Jacob Circle, opposite Arthur Road Jail, Mumbai, Maharashtra 400011",verified,pincode_lookup
56,Multi-Lingual & Transliteration Traps,"Cheriya palli bhagam, near backwaters, Alappuzha",Malayalam local terms for routing.,,"near back water s, Alappuzha H.O",Alappuzha,Alappuzha,Kerala,688001,"near back water s, Alappuzha H.O, Alappuzha, Kerala 688001",verified,pincode_lookup
57,Multi-Lingual & Transliteration Traps,"Tehsil chowk k pas, chungi no 4, Ludhiana",Punjabi/Hindi local navigation shortcuts.,,"tehsil chowk near chungi no 4, P&t Colony (Ludhiana)",Ludhiana,Ludhiana,Punjab,141001,"tehsil chowk near, chungi no 4, P&t Colony (Ludhiana), Ludhiana, Punjab 141001",verified,pincode_lookup
58,Multi-Lingual & Transliteration Traps,"Opposite bada mandir, choti gwaltoli, Indore",Relative sizing in Hindi (bada = big; choti = small).,,"Opposite bada mandir choti gwaltoli, Indore Tukoganj",Indore,Indore,Madhya Pradesh,452001,"Opposite bada mandir, choti gwaltoli, Indore Tukoganj, Indore, Madhya Pradesh 452001",verified,pincode_lookup
59,Multi-Lingual & Transliteration Traps,"Darwaza ke andar, purani basti, Lucknow 226003",Translates to inside the gate; old city routing.,,"Darwaza k e and ar purani basti, Saadatganj (Lucknow)",Lucknow,Lucknow,Uttar Pradesh,226003,"Darwaza k e and ar, purani basti, Saadatganj (Lucknow), Lucknow, Uttar Pradesh 226003",verified,pincode_lookup
60,Multi-Lingual & Transliteration Traps,"Theru no 3, Vadalur, Cuddalore district, Tamil Nadu",Theru translates to Street in Tamil.,,Theru no 3 Vadalur Cuddalore district,Cuddalore,Cuddalore,Tamil Nadu,607303,"Theru no 3, Vadalur, Cuddalore district, Cuddalore, Tamil Nadu 607303",verified,pincode_lookup
61,Hyper-Dense Urban Slums,"Room 105, 1st Floor, Ramji Chawl, Pipe Road, Kurla West, Mumbai 70",High-density micro-routing inside Chawls.,Room 105,"1 st Floor Ramji chawl Pipe Road West, Kurla",Mumbai,Mumbai,Maharashtra,400070,"Room 105, 1 st Floor, Ramji chawl, Pipe Road, West, Kurla, Mumbai, Maharashtra 400070",verified,pincode_lookup
62,Hyper-Dense Urban Slums,"Jhuggi no 45, Camp 2, Sanjay Amar Colony, Vishwas Nagar, Delhi 110032",Jhuggi translates to slum hutment; lacks formal street grids.,Jhuggi no 45 Camp 2,"Sanjay Amar Colony, Vishwas Nagar",New Delhi,East Delhi,Delhi,110032,"Jhuggi no 45, Camp 2, Sanjay Amar Colony, Vishwas Nagar, New Delhi, Delhi 110032",verified,pincode_lookup
63,Hyper-Dense Urban Slums,"Gali Number 7, Peepal wale ped ke paas, Dharavi, Mumbai 400017",Routing via specific trees in dense slum networks.,,gali Number 7 Peepal wale ped k e near Dharavi,Mumbai,Mumbai,Maharashtra,400017,"gali Number 7, Peepal wale ped k e near, Dharavi, Mumbai, Maharashtra 400017",verified,pincode_lookup
64,Hyper-Dense Urban Slums,"Khuli Kholi no 12, near public toilet, Govandi East, Mumbai",Using civic amenities as landmarks in slums.,,"Khuli Kholi no 12 near public toilet, Shivaji Nagar (Mumbai)",Mumbai,Mumbai,Maharashtra,400043,"Khuli Kholi no 12, near public toilet, Shivaji Nagar (Mumbai), Mumbai, Maharashtra 400043",verified,pincode_lookup
65,Hyper-Dense Urban Slums,"Kholi no 3, chawl no 5, Hanuman nagar, Kandivali E",Kholi translates to room; tests nested slum hierarchies.,,"Kholi no 3 chawl no 5 Hanuman nagar, Kandivali East",Mumbai,Mumbai,Maharashtra,400101,"Kholi no 3, chawl no 5, Hanuman nagar, Kandivali East, Mumbai, Maharashtra 400101",verified,pincode_lookup
