Test_ID,Suite,Raw_Address,Target_Challenge,Resolved_House,Resolved_Street,Resolved_City,Resolved_District,Resolved_State,Resolved_PIN,Clean_Address,Status,Method
1,Pincode vs. Locality Mismatches,"Flat 402, Tower B, Supertech Capetown, Sector 74, Noida 201301",201301 is Sector 15; Capetown is actually 201304.,Flat 402 Tower B,"Super tech Cape town 74, Chhaprauli Bengar",Noida,Gautam Buddha Nagar,Uttar Pradesh,201304,"Flat 402, Tower B, Super tech Cape town, 74, Chhaprauli Bengar, Noida, Uttar Pradesh 201304",verified,pincode_lookup
2,Pincode vs. Locality Mismatches,"Hiranandani Estate, Thane West, Mumbai - 400076",Thane is a different city (400607); 400076 is Powai.,Hiranandani Estate,"West, Sandozbaugh",Thane,Thane,Maharashtra,400607,"Hiranandani Estate, West, Sandozbaugh, Thane, Maharashtra 400607",verified,pincode_lookup
3,Pincode vs. Locality Mismatches,"12/A, Salt Lake Sector 5, Kolkata, 700001",Sec 5 is 700091; 700001 is Dalhousie.,,"12/A Salt Lake Sector 5, Bidhan Nagar CK Market",Kolkata,North 24 Parganas,West Bengal,700091,"12/A, Salt Lake Sector 5, Bidhan Nagar CK Market, Kolkata, West Bengal 700091",verified,pincode_lookup
4,Pincode vs. Locality Mismatches,"Plot No 45, Jubilee Hills, Hyderabad 500081",Jubilee Hills is 500033; 81 is Madhapur.,Plot No 45,Jubilee Hills,Hyderabad,Hyderabad,Telangana,500033,"Plot No 45, Jubilee Hills, Hyderabad, Telangana 500033",verified,pincode_lookup
5,Pincode vs. Locality Mismatches,"Block C, Vasant Kunj, New Delhi 110021",Vasant Kunj is 110070; 21 is Anand Niketan.,Block C,Vasant Kunj,New Delhi,South West Delhi,Delhi,110070,"Block C, Vasant Kunj, New Delhi, Delhi 110070",verified,pincode_lookup
6,Pincode vs. Locality Mismatches,"Shop No 4, Cyber City, Phase 2, Gurgaon, Delhi",Conflicting states (Haryana vs Delhi); missing pincode entirely.,Shop No 4,"Cyber City Phase 2, DLF QE",Gurgaon,Gurgaon,Haryana,122002,"Shop No 4, Cyber City, Phase 2, DLF QE, Gurgaon, Haryana 122002",verified,pincode_lookup
7,Pincode vs. Locality Mismatches,"House 32, Anna Nagar, Chennai 600028",Anna Nagar is 600040; 28 is RA Puram.,House 32,"Anna Nagar, Anna Nagar (Chennai)",Chennai,Chennai,Tamil Nadu,600040,"House 32, Anna Nagar, Anna Nagar (Chennai), Chennai, Tamil Nadu 600040",verified,pincode_lookup
8,Pincode vs. Locality Mismatches,"Andheri East, Near Railway Station, Mumbai 400058",Andheri East is 400069; 58 is Andheri West.,,Andheri Railway Station,Mumbai,Mumbai,Maharashtra,400058,"Andheri Railway Station, Mumbai, Maharashtra 400058",verified,pincode_lookup
9,Pincode vs. Locality Mismatches,"Koregaon Park, Pune, Maharashtra 411014",Koregaon Park is 411001; 14 is Viman Nagar.,,"Koregaon Park Pune, Sachapir Street",Pune,Pune,Maharashtra,411001,"Koregaon Park, Pune, Sachapir Street, Pune, Maharashtra 411001",verified,pincode_lookup
10,Pincode vs. Locality Mismatches,"Whitefield, Bengaluru, 560001",Whitefield is 560066; 01 is MG Road.,,Whitefield,Bengaluru,Bengaluru,Karnataka,560066,"Whitefield, Bengaluru, Karnataka 560066",verified,pincode_lookup
11,The Landmark Narrative,"opp. ganesh temple, 2nd cross, behind old bus stand, hosur road, madivala, b'lore-68",Purely relational routing using multiple POIs.,,opposite. ganesh temple 2 nd cross behind old bus stand hosur road,madivala b'lor,,,68,"opposite ganesh temple, 2 nd cross, behind old bus stand, hosur road, madivala b'lor, 68",unverified,model_prediction
12,The Landmark Narrative,"Sharma Niwas, take left from dairy, near the big banyan tree, civil lines, prayagraj",Narrative routing with unmapped natural landmarks.,Sharma Niwas,"take left from dairy near the big banyan tree, S N Marg",Allahabad,Allahabad,Uttar Pradesh,211001,"Sharma Niwas, take left from dairy, near the big banyan tree, S N Marg, Allahabad, Uttar Pradesh 211001",verified,pincode_lookup
13,The Landmark Narrative,"Blue gate house, next to the open drain, 3rd street on the right after crossing railway phatak, Ghaziabad","Visual instructions ('blue gate', 'open drain').",,Blue gate house beside the open d rain 3 rd street on the right,after crossing railway phatak Ghaziabad,,,,"Blue gate house, beside the open d rain, 3 rd street on the right, after crossing railway phatak Ghaziabad",unverified,model_prediction
14,The Landmark Narrative,"Up the stairs above Agarwal Sweets, corner shop, main bazar, Paharganj, ND",Vertical routing ('up the stairs').,,"Up the stairs above Agarwal Sweet s cor near shop main bazar, Pahar Ganj",New Delhi,Central Delhi,Delhi,110055,"Up the stairs above Agarwal Sweet s, cor near shop, main bazar, Pahar Ganj, New Delhi, Delhi 110055",verified,pincode_lookup
